asin,product_title,product_price,product_original_price,currency,product_star_rating,product_num_ratings,product_url,product_photo,product_num_offers,product_minimum_offer_price,is_best_seller,is_prime,climate_pledge_friendly
B07LB928X9,"Apple iPhone 7 32GB 3G AT&amp;T iOS Locked, Black (Refurbished)",$114.89,,USD,4.3,17,https://www.amazon.com/dp/B07LB928X9,https://m.media-amazon.com/images/I/71zS2kpKd9L._AC_SX444_SY639_QL65_.jpg,,$114.89,False,False,True
B07D4S6KF6,Samsung Galaxy S9 - GSM Unlocked Smartphone - Midnight Black,$212.87,$260.69,USD,4.3,171,https://www.amazon.com/dp/B07D4S6KF6,https://m.media-amazon.com/images/I/616sdK81NnL._AC_SX444_SY639_QL65_.jpg,,$212.87,False,True,False
B09MDMXT52,"Samsung Galaxy S21 5G Verizon + GSM Unlocked 128GB, Phantom Gray (Renewed)",$245.00,,USD,3.8,45,https://www.amazon.com/dp/B09MDMXT52,https://m.media-amazon.com/images/I/412zQIW5DuL._AC_SX410_SY591_QL65_.jpg,,$245.00,False,False,True
B092SPMKG6,"SAMSUNG Galaxy S21+ Plus G996U 5G | Factory Unlocked Android Cell Phone | US Version 5G Smartphone | Pro-Grade Camera, 8K Video, 64MP High Res | 256GB, Phantom Black - (Renewed)",$353.99,,USD,4.3,92,https://www.amazon.com/dp/B092SPMKG6,https://m.media-amazon.com/images/I/41U+XiNQylL._AC_SX407_SY586_QL65_.jpg,,$353.99,False,False,True
B0BDPKZF4B,Samsung Galaxy S21 FE 5G SM-G990U 128GB AT&amp;T (Renewed) (Graphite),$234.99,$359.99,USD,5,11,https://www.amazon.com/dp/B0BDPKZF4B,https://m.media-amazon.com/images/I/61CJQoz1-sL._AC_SX444_SY639_QL65_.jpg,,$234.99,False,False,True
B09478ZVHT,Samsung Galaxy A71 5G A716U | 6.7&quot; AMOLED Screen |128GB of Storage | Long Lasting Battery | Single SIM | 2020 Model | Black - AT&amp;T Locked (Renewed),$199.00,,USD,3.8,44,https://www.amazon.com/dp/B09478ZVHT,https://m.media-amazon.com/images/I/61Yu0q9ok9L._AC_SX444_SY639_QL65_.jpg,,$199.00,False,False,True
B0BYLRB3RN,Xiaomi Redmi Note 12 Pro+ Plus 5G (256GB + 8GB) Factory Unlocked 6.67&quot; 200MP Triple Camera (Tmobile Mint Tello Global) + Extra (w/Fast Car Charger Bundle) (Midnight Black (Global)),$337.99,,USD,4.2,138,https://www.amazon.com/dp/B0BYLRB3RN,https://m.media-amazon.com/images/I/71Ojg1P2E5L._AC_SX444_SY639_QL65_.jpg,,$337.99,False,True,False
B079X8DBQQ,Samsung Galaxy S9 64GB Unlocked GSM 4G LTE Phone w/ 12MP Camera (International Variant/US Compatible LTE) - Lilac Purple,$329.99,,USD,4,281,https://www.amazon.com/dp/B079X8DBQQ,https://m.media-amazon.com/images/I/41iTGxgm0EL._AC_SX444_SY639_QL65_.jpg,,$329.99,False,True,False
B09ZL6GCB5,Xiaomi Redmi 10 2022 4G LTE (128GB + 4GB) LTE GSM Factory Unlocked 6.5&quot; 50MP Quad Camera (Not Verizon Sprint Boost Tmobile At&amp;T Cricket) + Fast Car Charger Bundle (Carbon Gray),$126.50,,USD,4.4,1105,https://www.amazon.com/dp/B09ZL6GCB5,https://m.media-amazon.com/images/I/51t3OYBe6bL._AC_SX444_SY639_QL65_.jpg,,$126.50,False,True,False
B09G5ZKCXY,"SAMSUNG Galaxy Z Flip 3 5G Factory Unlocked Android Cell Phone US Version Smartphone Flex Mode Intuitive Camera Compact 256GB Storage US Warranty, Phantom Black (Renewed)",$373.11,$469.99,USD,4.2,618,https://www.amazon.com/dp/B09G5ZKCXY,https://m.media-amazon.com/images/I/71NKRXSR3XL._AC_SX444_SY639_QL65_.jpg,,$373.11,False,False,True
B093275JHT,Samsung Galaxy A71 (5G) 128GB (6.7 inch) Display Quad Camera 64MP A716U Smartphone - Black - T-Mobile Locked - (Renewed),$186.67,,USD,4.2,367,https://www.amazon.com/dp/B093275JHT,https://m.media-amazon.com/images/I/61ZB-7WLw9L._AC_SX444_SY639_QL65_.jpg,,$186.67,False,False,True
B09XP9FX25,"Samsung Galaxy A53 5G A Series Cell Phone, Factory Unlocked Android Smartphone, 128GB, 6.5” FHD Super AMOLED Screen, Long Battery Life, US Version, Black (Renewed)",$219.65,$418.00,USD,4,178,https://www.amazon.com/dp/B09XP9FX25,https://m.media-amazon.com/images/I/61uAwNHHgaL._AC_SX444_SY639_QL65_.jpg,,$219.65,False,False,True
B07KNB1TN8,"Samsung Galaxy Note 9, 128GB, Midnight Black - Unlocked (Renewed)",$182.22,,USD,4.2,2803,https://www.amazon.com/dp/B07KNB1TN8,https://m.media-amazon.com/images/I/61MgwGYt3ES._AC_SX444_SY639_QL65_.jpg,,$182.22,False,False,True
B0C2JQ4JD2,SAMSUNG Galaxy A34 5G + 4G LTE Latin American Version (256GB + 8GB) Unlocked Worldwide (Only T-Mobile/Mint/Metro USA Market) 6.6&quot; 120Hz 48MP Triple Camera - (Black),$273.50,,USD,4.5,46,https://www.amazon.com/dp/B0C2JQ4JD2,https://m.media-amazon.com/images/I/51pgNevY25L._AC_SX444_SY639_QL65_.jpg,,$273.50,False,True,False
